title,url,press_release
"
								U.S. mortgage rates reach historic depths below 3% - Freddie Mac",/article/freddie-mac-mortgages/u-s-mortgage-rates-reach-historic-depths-below-3-freddie-mac-idINKCN24I0AN,17 Jul 2020
"
								U.S. mortgage rates reach historic depths below 3%: Freddie Mac",/article/us-freddie-mac-mortgages/u-s-mortgage-rates-reach-historic-depths-below-3-freddie-mac-idINKCN24H327,17 Jul 2020
"
								UPDATE 2-U.S. mortgage rates reach historic depths below 3% -Freddie Mac",/article/freddie-mac-mortgages/update-2-u-s-mortgage-rates-reach-historic-depths-below-3-freddie-mac-idINL2N2EN2C8,17 Jul 2020
"
								REUTERS NEWS SCHEDULE AT 10 p.m. GMT /6:00 a.m. SGT",/article/reuters-schedule/reuters-news-schedule-at-10-p-m-gmt-600-a-m-sgt-idINL3N2EN4FG,17 Jul 2020
"
								Fed kicks off Main Street lending, balance sheet tops $7 trillion",/article/us-usa-fed-assets/fed-kicks-off-main-street-lending-balance-sheet-tops-7-trillion-idINKCN24H38P,17 Jul 2020
"
								UPDATE 1-Fed kicks off Main Street lending, balance sheet tops $7 trln",/article/usa-fed-assets/update-1-fed-kicks-off-main-street-lending-balance-sheet-tops-7-trln-idINL2N2EN2IA,17 Jul 2020
"
								Foreigners sell Treasuries in May, buy record amount of U.S. stocks: data",/article/us-usa-treasury-securities/foreigners-sell-treasuries-in-may-buy-record-amount-of-u-s-stocks-data-idINKCN24H3AT,17 Jul 2020
"
								Bank of Canada governor's promise of low rates could spur housing speculators",/article/us-canada-cenbank-housing/bank-of-canada-governors-promise-of-low-rates-could-spur-housing-speculators-idINKCN24H2Z5,17 Jul 2020
"
								UPDATE 1-Bank of Canada governor's promise of low rates could spur housing speculators",/article/canada-cenbank-housing/update-1-bank-of-canada-governors-promise-of-low-rates-could-spur-housing-speculators-idINL2N2EN1ZJ,17 Jul 2020
"
								U.S. mortgage rates reach historic depths below 3% -Freddie Mac",/article/freddie-mac-mortgages/u-s-mortgage-rates-reach-historic-depths-below-3-freddie-mac-idINL2N2EN1WW,17 Jul 2020
"
								Bank of Canada governor's low rate promise could spur housing speculators",/article/canada-cenbank-housing/bank-of-canada-governors-low-rate-promise-could-spur-housing-speculators-idINL3N2EN3P4,16 Jul 2020
"
								Morgan Stanley posts record profit on trading boom",/article/morgan-stanley-results/morgan-stanley-posts-record-profit-on-trading-boom-idINKCN24H23A,16 Jul 2020
"
								UPDATE 3-Morgan Stanley posts record profit on trading boom",/article/morgan-stanley-results/update-3-morgan-stanley-posts-record-profit-on-trading-boom-idINL3N2EN322,16 Jul 2020
"
								Insurers favor warehouse investments over offices as pandemic hastens real estate shifts",/article/health-coronavirus-insurance-investment/insurers-favor-warehouse-investments-over-offices-as-pandemic-hastens-real-estate-shifts-idINKCN24H2DK,16 Jul 2020
"
								Insurers favor warehouse investments over offices as pandemic hastens real estate shifts",/article/us-health-coronavirus-insurance-investme/insurers-favor-warehouse-investments-over-offices-as-pandemic-hastens-real-estate-shifts-idINKCN24H274,16 Jul 2020
"
								Insurers favor warehouse investments over offices as pandemic hastens real estate shifts",/article/health-coronavirus-insurance-investment/insurers-favor-warehouse-investments-over-offices-as-pandemic-hastens-real-estate-shifts-idINL2N2EM1H2,16 Jul 2020
"
								UPDATE 1-Experian first-quarter revenue falls less than expected",/article/experian-outlook/update-1-experian-first-quarter-revenue-falls-less-than-expected-idINL3N2EN1SS,16 Jul 2020
"
								China's June property investment accelerates, home prices pick up",/article/china-economy-property/chinas-june-property-investment-accelerates-home-prices-pick-up-idINKCN24H0J6,16 Jul 2020
"
								UPDATE 2-China's June property investment accelerates, home prices pick up",/article/china-economy-property/update-2-chinas-june-property-investment-accelerates-home-prices-pick-up-idINL3N2EM0DE,16 Jul 2020
"
								Senate committee to vote on bill banning federal employees from using TikTok",/article/usa-legislation-tiktok/senate-committee-to-vote-on-bill-banning-federal-employees-from-using-tiktok-idINKCN24H0C3,16 Jul 2020
"
								Senate committee to vote on bill banning federal employees from using TikTok",/article/us-usa-legislation-tiktok/senate-committee-to-vote-on-bill-banning-federal-employees-from-using-tiktok-idINKCN24G2VM,16 Jul 2020
"
								UPDATE 1-Senate committee to vote on bill banning federal employees from using TikTok",/article/usa-legislation-tiktok/update-1-senate-committee-to-vote-on-bill-banning-federal-employees-from-using-tiktok-idINL2N2EN03T,16 Jul 2020
"
								Senate committee to vote on bill banning federal employees from using TikTok",/article/usa-legislation-tiktok/senate-committee-to-vote-on-bill-banning-federal-employees-from-using-tiktok-idINL2N2EM1X9,16 Jul 2020
"
								NY Fed's Logan says market functioning has improved but officials remain vigilant",/article/us-usa-fed-logan/ny-feds-logan-says-market-functioning-has-improved-but-officials-remain-vigilant-idINKCN24G2PC,16 Jul 2020
"
								Fed's Harker says failure to control virus creating more economic uncertainty",/article/usa-fed-harker/feds-harker-says-failure-to-control-virus-creating-more-economic-uncertainty-idINKCN24G2KF,15 Jul 2020
